Date Time_x, Water Level_x, Sigma_x,Flag_x, F_x, R_x, L_x, Quality _x,Date,Time_x,Date Time_y, Water Level_y, Sigma_y,Flag_y, F_y, R_y, L_y, Quality _y,Time_y
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:00:00-04:00,1.145,0.009,0,0,0,0,v,00:00:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:06:00-04:00,1.273,0.01,0,0,0,0,v,00:06:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:12:00-04:00,1.463,0.01,0,0,0,0,v,00:12:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:18:00-04:00,1.519,0.006,0,0,0,0,v,00:18:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:24:00-04:00,1.634,0.009,0,0,0,0,v,00:24:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:30:00-04:00,1.765,0.008,0,0,0,0,v,00:30:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:36:00-04:00,1.91,0.011,0,0,0,0,v,00:36:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:42:00-04:00,1.985,0.007,0,0,0,0,v,00:42:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:48:00-04:00,2.129,0.007,0,0,0,0,v,00:48:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 00:54:00-04:00,2.211,0.009,0,0,0,0,v,00:54:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:00:00-04:00,2.343,0.011,0,0,0,0,v,01:00:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:06:00-04:00,2.428,0.013,0,0,0,0,v,01:06:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:12:00-04:00,2.543,0.008,0,0,0,0,v,01:12:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:18:00-04:00,2.638,0.009,0,0,0,0,v,01:18:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:24:00-04:00,2.736,0.012,0,0,0,0,v,01:24:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:30:00-04:00,2.795,0.013,0,0,0,0,v,01:30:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:36:00-04:00,2.884,0.011,0,0,0,0,v,01:36:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:42:00-04:00,2.973,0.012,0,0,0,0,v,01:42:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:48:00-04:00,3.005,0.008,0,0,0,0,v,01:48:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 01:54:00-04:00,3.055,0.012,0,0,0,0,v,01:54:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:00:00-04:00,3.107,0.012,0,0,0,0,v,02:00:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:06:00-04:00,3.124,0.01,0,0,0,0,v,02:06:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:12:00-04:00,3.212,0.011,0,0,0,0,v,02:12:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:18:00-04:00,3.232,0.009,0,0,0,0,v,02:18:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:24:00-04:00,3.278,0.009,0,0,0,0,v,02:24:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:30:00-04:00,3.337,0.009,0,0,0,0,v,02:30:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:36:00-04:00,3.35,0.008,0,0,0,0,v,02:36:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:42:00-04:00,3.425,0.009,0,0,0,0,v,02:42:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:48:00-04:00,3.445,0.01,0,0,0,0,v,02:48:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 02:54:00-04:00,3.481,0.009,0,0,0,0,v,02:54:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 03:00:00-04:00,3.507,0.009,0,0,0,0,v,03:00:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 03:06:00-04:00,3.481,0.009,0,0,0,0,v,03:06:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 03:12:00-04:00,3.484,0.009,0,0,0,0,v,03:12:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 03:18:00-04:00,3.494,0.012,0,0,0,0,v,03:18:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 03:24:00-04:00,3.448,0.017,0,0,0,0,v,03:24:00
2016-05-05 17:36:00-04:00,4.534,0.002,0,0,0,0,v,2016-05-05,17:36:00,2016-05-05 03:30:00-04:00,3.438,0.008,0,0,0,0,v,03:30:00
