Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
USGS,01484085,2021-05-28 20:12:00-04:00,4.5,2021-05-28,20:12:00,4.5,NAVD,0,01484085-2021-35453
USGS,01484085,2021-05-28 20:18:00-04:00,4.54,2021-05-28,20:18:00,4.54,NAVD,0,01484085-2021-35454
USGS,01484085,2021-05-29 20:54:00-04:00,4.58,2021-05-29,20:54:00,4.58,NAVD,0,01484085-2021-35696
USGS,01484085,2021-05-29 21:00:00-04:00,4.52,2021-05-29,21:00:00,4.52,NAVD,0,01484085-2021-35697
USGS,01484085,2021-05-29 21:06:00-04:00,4.68,2021-05-29,21:06:00,4.68,NAVD,0,01484085-2021-35698
USGS,01484085,2021-05-29 21:24:00-04:00,4.52,2021-05-29,21:24:00,4.52,NAVD,0,01484085-2021-35701
USGS,01484085,2021-05-29 21:36:00-04:00,4.57,2021-05-29,21:36:00,4.57,NAVD,0,01484085-2021-35703
USGS,01484085,2021-05-29 21:42:00-04:00,4.53,2021-05-29,21:42:00,4.53,NAVD,0,01484085-2021-35704
USGS,01484085,2021-05-29 22:06:00-04:00,4.54,2021-05-29,22:06:00,4.54,NAVD,0,01484085-2021-35708
USGS,01484085,2021-10-29 10:06:00-04:00,4.57,2021-10-29,10:06:00,4.57,NAVD,0,01484085-2021-72269
USGS,01484085,2021-10-29 10:18:00-04:00,4.55,2021-10-29,10:18:00,4.55,NAVD,0,01484085-2021-72271
USGS,01484085,2021-10-29 10:24:00-04:00,4.63,2021-10-29,10:24:00,4.63,NAVD,0,01484085-2021-72272
USGS,01484085,2021-10-29 10:42:00-04:00,4.94,2021-10-29,10:42:00,4.94,NAVD,0,01484085-2021-72275
USGS,01484085,2021-10-29 12:48:00-04:00,5.3,2021-10-29,12:48:00,5.3,NAVD,0,01484085-2021-72276
USGS,01484085,2021-10-29 15:06:00-04:00,4.63,2021-10-29,15:06:00,4.63,NAVD,0,01484085-2021-72277
USGS,01484085,2021-10-29 15:12:00-04:00,4.51,2021-10-29,15:12:00,4.51,NAVD,0,01484085-2021-72278
