Source,SiteID,Date Time,Water Level,Date,Time,Identifier
USGS,01484085,2019-03-21 18:00:00-04:00,4.63,2019-03-21,22:00,01484085-2019-18708
USGS,01484085,2019-03-21 18:06:00-04:00,4.79,2019-03-21,22:06,01484085-2019-18709
USGS,01484085,2019-03-21 18:18:00-04:00,4.65,2019-03-21,22:18,01484085-2019-18711
USGS,01484085,2019-03-21 18:30:00-04:00,4.65,2019-03-21,22:30,01484085-2019-18713
USGS,01484085,2019-03-21 18:36:00-04:00,4.57,2019-03-21,22:36,01484085-2019-18714
USGS,01484085,2019-03-21 18:42:00-04:00,4.78,2019-03-21,22:42,01484085-2019-18715
USGS,01484085,2019-03-21 19:00:00-04:00,4.86,2019-03-21,23:00,01484085-2019-18718
USGS,01484085,2019-03-21 19:06:00-04:00,4.86,2019-03-21,23:06,01484085-2019-18719
USGS,01484085,2019-03-21 19:12:00-04:00,4.55,2019-03-21,23:12,01484085-2019-18720
USGS,01484085,2019-03-21 19:18:00-04:00,4.52,2019-03-21,23:18,01484085-2019-18721
USGS,01484085,2019-03-21 19:54:00-04:00,4.5,2019-03-21,23:54,01484085-2019-18727
USGS,01484085,2019-05-05 19:12:00-04:00,4.5,2019-05-05,23:12,01484085-2019-29512
USGS,01484085,2019-10-10 16:30:00-04:00,4.52,2019-10-10,20:30,01484085-2019-67311
USGS,01484085,2019-10-10 16:42:00-04:00,4.54,2019-10-10,20:42,01484085-2019-67313
USGS,01484085,2019-10-10 16:48:00-04:00,4.54,2019-10-10,20:48,01484085-2019-67314
USGS,01484085,2019-10-10 16:54:00-04:00,4.52,2019-10-10,20:54,01484085-2019-67315
USGS,01484085,2019-10-11 16:42:00-04:00,4.54,2019-10-11,20:42,01484085-2019-67551
USGS,01484085,2019-10-11 16:48:00-04:00,4.53,2019-10-11,20:48,01484085-2019-67552
USGS,01484085,2019-10-11 16:54:00-04:00,4.55,2019-10-11,20:54,01484085-2019-67553
USGS,01484085,2019-10-11 17:00:00-04:00,4.5,2019-10-11,21:00,01484085-2019-67554
USGS,01484085,2019-10-11 17:06:00-04:00,4.5,2019-10-11,21:06,01484085-2019-67555
USGS,01484085,2019-10-11 17:12:00-04:00,4.6,2019-10-11,21:12,01484085-2019-67556
USGS,01484085,2019-10-11 17:18:00-04:00,4.58,2019-10-11,21:18,01484085-2019-67557
USGS,01484085,2019-10-11 17:24:00-04:00,4.61,2019-10-11,21:24,01484085-2019-67558
USGS,01484085,2019-10-11 17:30:00-04:00,4.5,2019-10-11,21:30,01484085-2019-67559
USGS,01484085,2019-10-11 17:36:00-04:00,4.57,2019-10-11,21:36,01484085-2019-67560
USGS,01484085,2019-10-11 17:42:00-04:00,4.59,2019-10-11,21:42,01484085-2019-67561
USGS,01484085,2019-10-11 17:48:00-04:00,4.56,2019-10-11,21:48,01484085-2019-67562
USGS,01484085,2019-10-11 17:54:00-04:00,4.58,2019-10-11,21:54,01484085-2019-67563
USGS,01484085,2019-10-11 18:00:00-04:00,4.54,2019-10-11,22:00,01484085-2019-67564
USGS,01484085,2019-10-11 18:06:00-04:00,4.51,2019-10-11,22:06,01484085-2019-67565
