Source,SiteID,Date Time,Water Level,Date,Time,Measured Water Level,VDatum,Offset,Identifier
USGS,01484085,2022-01-03 04:12:00-05:00,4.52,2022-01-03,04:12:00,4.52,NAVD,0,01484085-2022-570
USGS,01484085,2022-01-03 04:24:00-05:00,4.66,2022-01-03,04:24:00,4.66,NAVD,0,01484085-2022-572
USGS,01484085,2022-01-03 04:36:00-05:00,4.51,2022-01-03,04:36:00,4.51,NAVD,0,01484085-2022-574
USGS,01484085,2022-01-03 04:42:00-05:00,4.53,2022-01-03,04:42:00,4.53,NAVD,0,01484085-2022-575
USGS,01484085,2022-01-03 04:54:00-05:00,4.68,2022-01-03,04:54:00,4.68,NAVD,0,01484085-2022-577
USGS,01484085,2022-01-03 05:00:00-05:00,4.64,2022-01-03,05:00:00,4.64,NAVD,0,01484085-2022-578
USGS,01484085,2022-01-03 05:06:00-05:00,4.66,2022-01-03,05:06:00,4.66,NAVD,0,01484085-2022-579
USGS,01484085,2022-01-03 05:12:00-05:00,4.64,2022-01-03,05:12:00,4.64,NAVD,0,01484085-2022-580
USGS,01484085,2022-01-03 05:18:00-05:00,4.5,2022-01-03,05:18:00,4.5,NAVD,0,01484085-2022-581
USGS,01484085,2022-01-03 05:36:00-05:00,4.58,2022-01-03,05:36:00,4.58,NAVD,0,01484085-2022-584
USGS,01484085,2022-01-03 05:48:00-05:00,4.6,2022-01-03,05:48:00,4.6,NAVD,0,01484085-2022-586
USGS,01484085,2022-04-18 18:24:00-04:00,4.55,2022-04-18,18:24:00,4.55,NAVD,0,01484085-2022-24942
USGS,01484085,2022-04-18 18:30:00-04:00,4.86,2022-04-18,18:30:00,4.86,NAVD,0,01484085-2022-24943
USGS,01484085,2022-04-18 18:36:00-04:00,4.52,2022-04-18,18:36:00,4.52,NAVD,0,01484085-2022-24944
USGS,01484085,2022-04-18 18:42:00-04:00,4.5,2022-04-18,18:42:00,4.5,NAVD,0,01484085-2022-24945
USGS,01484085,2022-04-18 19:00:00-04:00,4.59,2022-04-18,19:00:00,4.59,NAVD,0,01484085-2022-24948
USGS,01484085,2022-04-18 19:06:00-04:00,4.7,2022-04-18,19:06:00,4.7,NAVD,0,01484085-2022-24949
USGS,01484085,2022-04-18 19:12:00-04:00,4.6,2022-04-18,19:12:00,4.6,NAVD,0,01484085-2022-24950
USGS,01484085,2022-04-18 19:18:00-04:00,4.54,2022-04-18,19:18:00,4.54,NAVD,0,01484085-2022-24951
USGS,01484085,2022-04-18 19:24:00-04:00,4.68,2022-04-18,19:24:00,4.68,NAVD,0,01484085-2022-24952
USGS,01484085,2022-04-18 19:30:00-04:00,4.55,2022-04-18,19:30:00,4.55,NAVD,0,01484085-2022-24953
USGS,01484085,2022-04-18 19:42:00-04:00,4.98,2022-04-18,19:42:00,4.98,NAVD,0,01484085-2022-24955
USGS,01484085,2022-04-18 19:48:00-04:00,5.02,2022-04-18,19:48:00,5.02,NAVD,0,01484085-2022-24956
USGS,01484085,2022-04-18 19:54:00-04:00,4.8,2022-04-18,19:54:00,4.8,NAVD,0,01484085-2022-24957
USGS,01484085,2022-04-18 20:00:00-04:00,5.01,2022-04-18,20:00:00,5.01,NAVD,0,01484085-2022-24958
USGS,01484085,2022-04-18 20:06:00-04:00,5.03,2022-04-18,20:06:00,5.03,NAVD,0,01484085-2022-24959
USGS,01484085,2022-04-18 20:12:00-04:00,4.83,2022-04-18,20:12:00,4.83,NAVD,0,01484085-2022-24960
USGS,01484085,2022-04-18 20:18:00-04:00,4.89,2022-04-18,20:18:00,4.89,NAVD,0,01484085-2022-24961
USGS,01484085,2022-04-18 20:24:00-04:00,4.77,2022-04-18,20:24:00,4.77,NAVD,0,01484085-2022-24962
USGS,01484085,2022-04-18 20:30:00-04:00,4.61,2022-04-18,20:30:00,4.61,NAVD,0,01484085-2022-24963
USGS,01484085,2022-04-18 20:36:00-04:00,4.56,2022-04-18,20:36:00,4.56,NAVD,0,01484085-2022-24964
