,Date,Time,SiteID,Source,Measured Water Level,Offset,Adjusted Water Level,VDatum
0,1/25/20,5/30/23 3:54,8570283,NOAA,1.66,0,1.66,NAVD
1,1/25/20,5/30/23 4:06,8557380,NOAA,3.566,0,3.57,NAVD
2,1/25/20,5/30/23 4:36,1484085,USGS,4.55,0,4.55,NAVD
3,1/25/20,5/30/23 6:48,8551910,NOAA,4.331,0,4.33,NAVD
4,1/25/20,5/30/23 6:48,8551762,NOAA,4.823,-0.04,4.78,MSL
5,1/25/20,5/30/23 7:54,8540433,NOAA,4.813,0.15,4.96,MSL
6,4/29/20,5/30/23 21:12,8557380,NOAA,2.726,0,2.73,NAVD
7,4/30/20,5/30/23 11:36,1484085,USGS,3.55,0,3.55,NAVD
8,4/30/20,5/30/23 12:54,8551910,NOAA,4.862,0,4.86,NAVD
9,4/30/20,5/30/23 13:00,8551762,NOAA,4.934,-0.04,4.89,MSL
10,4/30/20,5/30/23 14:06,8540433,NOAA,5.144,0.15,5.29,MSL
11,4/30/20,5/30/23 21:48,8570283,NOAA,1.627,0,1.63,NAVD
12,8/2/20,5/30/23 15:30,8570283,NOAA,1.391,0,1.39,NAVD
13,8/2/20,5/30/23 15:54,8557380,NOAA,2.845,0,2.85,NAVD
14,8/4/20,5/30/23 7:06,1484085,USGS,4.06,0,4.06,NAVD
15,8/4/20,5/30/23 7:30,8551910,NOAA,4.836,0,4.84,NAVD
16,8/4/20,5/30/23 7:36,8551762,NOAA,5.236,-0.04,5.2,MSL
17,8/4/20,5/30/23 8:48,8540433,NOAA,5.269,0.15,5.42,MSL
18,8/16/20,5/30/23 14:06,8570283,NOAA,2.264,0,2.26,NAVD
19,8/16/20,5/30/23 14:30,8557380,NOAA,4.029,0,4.03,NAVD
20,8/16/20,5/30/23 16:00,1484085,USGS,4.25,0,4.25,NAVD
21,8/17/20,5/30/23 17:36,8551910,NOAA,4.652,0,4.65,NAVD
22,8/17/20,5/30/23 17:48,8551762,NOAA,4.885,-0.04,4.84,MSL
23,8/17/20,5/30/23 18:48,8540433,NOAA,4.865,0.15,5.02,MSL
24,10/12/20,5/30/23 12:36,8570283,NOAA,2.234,0,2.23,NAVD
25,10/12/20,5/30/23 12:36,8557380,NOAA,4.072,0,4.07,NAVD
26,10/12/20,5/30/23 14:18,1484085,USGS,4.65,0,4.65,NAVD
27,10/12/20,5/30/23 15:24,8551910,NOAA,4.088,0,4.09,NAVD
28,10/12/20,5/30/23 15:30,8551762,NOAA,4.534,-0.04,4.49,MSL
29,10/12/20,5/30/23 16:36,8540433,NOAA,4.396,0.15,4.55,MSL
30,10/30/20,5/30/23 3:36,8557380,NOAA,4.531,0,4.53,NAVD
31,10/30/20,5/30/23 4:06,8570283,NOAA,2.503,0,2.5,NAVD
32,10/30/20,5/30/23 4:54,1484085,USGS,4.51,0,4.51,NAVD
33,10/31/20,5/30/23 7:06,8551762,NOAA,3.927,-0.04,3.89,MSL
34,10/31/20,5/30/23 8:06,8540433,NOAA,3.947,0.15,4.1,MSL
